PUSH  FIND  POP
5     0     6     
8     0     12     
11     0     17     
14     1     23     
17     2     29     
20     3     35     
23     4     40     
26     5     45     
29     5     50     
33     6     55     
36     6     61     
39     7     67     
42     7     72     
45     7     78     
48     7     83     
51     8     89     
54     8     94     
57     9     100     
61     10     106     
64     10     111     
67     11     117     
70     11     122     
73     11     127     
76     11     132     
80     11     137     
83     12     143     
86     12     148     
89     13     154     
92     13     159     
95     14     164     
98     14     169     
101     14     174     
104     15     179     
107     16     184     
110     16     189     
113     16     194     
116     17     200     
119     17     205     
122     17     210     
125     18     215     
128     19     221     
131     19     226     
134     20     231     
137     20     236     
140     20     241     
143     21     246     
146     21     251     
149     21     256     
152     22     262     
155     22     267     
158     22     272     
162     23     277     
165     24     283     
168     24     288     
172     25     293     
175     26     299     
178     26     304     
182     27     309     
185     28     315     
188     28     321     
191     28     326     
194     28     331     
197     28     336     
200     29     341     
203     30     346     
206     31     351     
209     32     356     
212     33     362     
215     34     367     
218     34     373     
221     34     378     
225     35     383     
228     36     389     
231     36     394     
234     36     399     
237     37     404     
240     38     410     
243     38     415     
247     39     420     
250     39     426     
254     39     431     
257     40     437     
260     41     443     
264     41     448     
267     42     453     
270     42     459     
273     42     464     
276     43     469     
279     44     474     
283     45     479     
286     46     485     
289     46     490     
292     46     495     
295     46     500     
298     47     505     
301     47     511     
304     47     516     
308     47     521     
311     48     526     
314     49     532     
317     49     537     
320     49     542     
323     49     547     
325     49     552     
328     50     557     
331     51     563     
334     51     568     
338     52     573     
341     53     579     
344     53     584     
347     53     589     
350     53     594     
353     54     599     
356     55     605     
359     56     610     
362     56     615     
366     57     620     
369     58     625     
372     59     631     
375     59     636     
379     59     641     
382     60     646     
385     60     652     
388     60     657     
391     60     662     
395     61     667     
398     61     673     
401     61     678     
405     62     683     
408     63     688     
411     64     694     
414     64     699     
417     64     704     
420     64     709     
423     64     714     
426     64     719     
430     65     724     
433     66     730     
436     66     735     
440     67     740     
443     68     745     
446     68     750     
449     68     755     
453     69     760     
456     70     765     
459     71     771     
462     72     777     
465     72     782     
468     73     788     
471     73     794     
474     73     799     
477     73     804     
480     73     809     
484     74     814     
487     74     819     
490     74     824     
493     74     829     
496     75     834     
499     76     840     
502     76     845     
505     76     851     
508     76     856     
511     77     861     
514     78     867     
517     78     872     
520     78     877     
523     78     882     
526     79     887     
529     80     893     
532     80     898     
535     80     903     
539     81     908     
542     82     913     
547     83     919     
551     83     924     
554     84     930     
557     84     935     
561     85     940     
564     86     945     
567     87     951     
570     87     956     
574     88     961     
577     89     966     
580     90     971     
583     91     988     
588     92     996     
593     93     1004     
598     94     1012     
603     95     1020     
607     96     1028     
612     96     1036     
617     97     1045     
623     98     1053     
628     99     1061     
633     100     1070     
638     100     1078     
642     101     1086     
647     102     1094     
652     103     1102     
657     103     1110     
662     104     1118     
666     105     1126     
670     106     1134     
675     107     1142     
680     108     1150     
684     109     1158     
689     110     1166     
693     111     1174     
698     112     1182     
703     112     1190     
708     113     1198     
713     114     1206     
718     114     1215     
723     115     1224     
728     116     1232     
733     117     1240     
738     118     1248     
742     119     1256     
747     119     1264     
752     120     1273     
757     121     1281     
762     122     1290     
767     122     1298     
771     123     1307     
777     124     1315     
782     124     1323     
787     125     1332     
792     126     1341     
797     127     1349     
802     128     1357     
806     129     1365     
811     130     1374     
817     131     1382     
822     132     1390     
827     133     1398     
832     134     1406     
837     135     1414     
842     135     1422     
847     136     1431     
852     137     1440     
857     138     1448     
862     139     1456     
867     140     1465     
872     141     1473     
876     142     1482     
882     143     1490     
887     144     1498     
892     145     1507     
897     146     1515     
901     147     1524     
906     148     1532     
911     149     1544     
917     150     1552     
922     150     1560     
927     150     1568     
932     151     1576     
937     151     1584     
942     151     1593     
947     152     1601     
952     153     1609     
957     154     1617     
961     155     1625     
966     156     1633     
971     156     1641     
976     156     1649     
981     156     1657     
986     157     1665     
991     158     1673     
996     159     1690     
999     159     1695     
1002     160     1700     
1005     161     1706     
1008     161     1711     
1011     161     1716     
1014     161     1721     
1018     162     1726     
1021     163     1732     
1024     164     1738     
1027     164     1744     
1030     164     1749     
1033     164     1754     
1036     164     1759     
1039     165     1765     
1042     165     1770     
1045     165     1775     
1048     166     1781     
1051     166     1786     
1054     166     1791     
1058     167     1796     
1061     168     1802     
1064     168     1807     
1067     168     1812     
1071     169     1817     
1074     169     1822     
1077     169     1827     
1080     170     1832     
1083     171     1837     
1086     171     1842     
1089     171     1847     
1091     171     1852     
1095     172     1858     
1098     172     1863     
1101     172     1868     
1105     173     1873     
1108     174     1879     
1111     174     1884     
1114     174     1889     
1117     175     1894     
1120     176     1899     
1123     176     1905     
1126     177     1911     
1129     177     1916     
1132     177     1921     
1136     178     1926     
1139     179     1931     
1142     180     1936     
1145     181     1942     
1149     182     1947     
1152     183     1953     
1155     183     1958     
1158     183     1963     
1161     184     1969     
1165     184     1974     
1168     185     1979     
1171     185     1985     
1174     185     1990     
1178     186     1996     
1181     186     2001     
1184     186     2006     
1187     186     2012     
1190     187     2017     
1193     187     2022     
1196     187     2027     
1200     188     2032     
1203     188     2038     
1206     188     2043     
1209     189     2049     
1212     189     2054     
1216     190     2059     
1219     191     2064     
1222     192     2070     
1225     192     2075     
1228     193     2080     
1231     193     2085     
1235     194     2090     
1238     195     2095     
1241     196     2100     
1244     197     2106     
1247     197     2111     
1251     198     2116     
1254     199     2122     
1257     199     2127     
1260     200     2132     
1263     201     2138     
1266     201     2143     
1270     202     2148     
1273     203     2153     
1276     204     2158     
1279     205     2164     
1282     205     2169     
1285     206     2174     
1288     207     2180     
1291     207     2185     
1294     207     2190     
1297     208     2195     
1300     208     2200     
1303     208     2205     
1307     209     2210     
1310     210     2215     
1313     210     2220     
1317     211     2225     
1320     212     2230     
1323     213     2235     
1326     213     2240     
1329     214     2245     
1332     214     2250     
1336     215     2255     
1339     215     2260     
1342     215     2265     
1345     216     2271     
1349     217     2277     
1352     217     2282     
1355     218     2288     
1358     218     2293     
1361     218     2298     
1365     219     2304     
1369     220     2310     
1372     221     2315     
1376     222     2320     
1379     222     2325     
1382     223     2331     
1385     223     2336     
1388     224     2342     
1391     224     2347     
1394     224     2352     
1397     224     2358     
1400     224     2363     
1403     224     2368     
1406     224     2373     
1410     225     2378     
1413     226     2383     
1416     227     2389     
1419     227     2394     
1422     228     2400     
1425     228     2405     
1428     229     2411     
1431     229     2416     
1434     230     2422     
1438     231     2428     
1441     231     2433     
1443     231     2438     
1446     231     2443     
1449     231     2448     
1452     232     2454     
1456     233     2459     
1459     234     2464     
1462     235     2469     
1465     236     2475     
1469     237     2481     
1472     237     2486     
1475     237     2491     
1478     238     2496     
1481     238     2501     
1484     238     2506     
1487     239     2512     
1490     239     2517     
1493     240     2522     
1496     241     2528     
1500     242     2533     
1503     243     2538     
1506     243     2543     
1509     243     2548     
1513     244     2554     
1516     244     2559     
1519     245     2565     
1522     245     2570     
1525     245     2575     
1528     246     2580     
1531     247     2586     
1534     248     2591     
1537     249     2597     
1540     250     2603     
1543     250     2608     
1547     251     2613     
1550     252     2619     
1553     252     2624     
1557     253     2629     
1560     254     2635     
1563     254     2640     
1566     255     2645     
1569     255     2650     
1573     256     2655     
1576     256     2660     
1579     256     2665     
1582     256     2670     
1586     256     2675     
1590     257     2681     
1593     257     2686     
1596     257     2691     
1599     258     2697     
1603     259     2702     
1606     260     2707     
1609     261     2712     
1612     262     2717     
1615     262     2722     
1618     263     2728     
1622     264     2733     
1625     265     2739     
1628     265     2744     
1631     266     2749     
1634     266     2754     
1638     266     2759     
1641     267     2766     
1645     268     2772     
1649     269     2778     
1653     270     2785     
1657     271     2791     
1661     272     2797     
1665     272     2803     
1669     273     2810     
1673     273     2816     
1678     275     2826     
1684     276     2837     
1691     277     2847     
1697     278     2857     
1703     279     2880     
1708     280     2903     
1715     281     2912     
1720     282     2934     
1726     283     2942     
1731     284     2950     
1736     285     2959     
1756     285     2968     
1762     286     2978     
1768     287     2987     
1775     288     2996     
1781     288     3006     
1787     289     3016     
1793     290     3026     
1799     291     3037     
1806     292     3048     
1812     293     3058     
1818     294     3069     
1825     295     3080     
1832     296     3090     
1839     297     3100     
1846     298     3111     
1852     299     3121     
1859     300     3132     
1865     301     3141     
1872     302     3152     
1878     303     3163     
1885     304     3173     
1891     305     3183     
1898     306     3192     
1905     307     3202     
1912     308     3213     
1918     309     3223     
1924     310     3233     
1932     311     3243     
1939     312     3253     
1945     313     3263     
1951     313     3273     
1957     314     3283     
1975     314     3291     
1981     315     3314     
1986     316     3336     
1993     316     3347     
2000     317     3357     
2007     318     3368     
2014     319     3378     
2021     320     3388     
2028     321     3399     
2034     322     3409     
2040     323     3419     
2046     323     3430     
2052     324     3440     
2059     325     3449     
2064     326     3459     
2087     327     3467     
2092     328     3475     
2097     328     3483     
2102     329     3492     
2107     330     3498     
2111     330     3518     
2115     331     3524     
2148     332     3534     
2155     333     3544     
2162     334     3554     
2169     335     3565     
2176     336     3575     
2184     336     3585     
2191     337     3596     
2198     338     3608     
2204     338     3619     
2212     339     3629     
2219     340     3640     
2225     341     3651     
2233     342     3661     
2240     343     3671     
2246     344     3681     
2253     344     3691     
2260     345     3701     
2266     346     3711     
2272     347     3720     
2279     348     3729     
2285     349     3740     
2290     350     3749     
2295     350     3757     
2316     351     3764     
2320     352     3771     
2324     353     3777     
2328     353     3784     
2332     354     3791     
2336     355     3798     
2340     355     3805     
2345     356     3813     
2349     357     3820     
2353     358     3827     
2357     359     3833     
2361     360     3839     
2365     360     3845     
2369     361     3853     
2373     362     3860     
2377     363     3867     
2380     364     3874     
2384     365     3880     
2388     366     3887     
2392     367     3894     
2396     368     3901     
2400     369     3908     
2404     369     3915     
2411     370     3924     
2417     371     3930     
2421     372     3937     
2425     373     3944     
2429     373     3951     
2434     374     3960     
2440     375     3969     
2445     376     3978     
2451     377     3988     
2457     378     3998     
2462     379     4011     
2467     380     4035     
2472     381     4043     
2476     382     4050     
2481     383     4058     
2486     384     4067     
2491     385     4075     
2496     386     4084     
2501     387     4093     
2506     387     4102     
2511     388     4110     
2516     389     4118     
2521     390     4126     
2527     391     4159     
2532     392     4167     
2537     393     4175     
2542     394     4184     
2547     394     4192     
2552     395     4197     
2563     396     4204     
2566     397     4210     
2569     397     4215     
2573     398     4220     
2576     399     4226     
2579     400     4231     
2582     400     4236     
2585     400     4241     
2589     401     4246     
2592     402     4251     
2595     403     4257     
2598     403     4262     
2602     403     4267     
2605     403     4272     
2608     403     4277     
2611     404     4283     
2614     404     4288     
2617     404     4293     
2621     405     4298     
2624     405     4303     
2627     405     4308     
2630     406     4313     
2633     407     4319     
2636     407     4324     
2639     407     4329     
2643     408     4335     
2646     408     4340     
2650     409     4345     
2653     410     4351     
2656     410     4356     
2659     411     4361     
2662     412     4367     
2665     412     4372     
2668     413     4377     
2671     414     4383     
2674     414     4388     
2677     414     4393     
2680     414     4398     
2683     415     4403     
2686     415     4408     
2689     415     4413     
2692     416     4419     
2695     416     4424     
2698     416     4429     
2702     417     4434     
2705     418     4439     
2708     419     4444     
2711     419     4449     
2714     419     4454     
2718     420     4459     
2721     421     4465     
2724     421     4470     
2727     421     4475     
2730     422     4480     
2733     423     4486     
2736     423     4491     
2739     424     4497     
2742     424     4502     
2745     424     4507     
2749     425     4512     
2752     425     4517     
2756     426     4523     
2759     426     4528     
2762     426     4533     
2765     427     4539     
2768     427     4544     
2772     427     4549     
2775     428     4554     
2778     429     4559     
2781     430     4565     
2784     430     4570     
2787     430     4575     
2790     430     4580     
2793     430     4585     
2796     431     4590     
2799     432     4596     
2802     433     4602     
2805     433     4607     
2808     433     4612     
2812     434     4617     
2815     435     4622     
2818     436     4627     
