PUSH  FIND  POP
29     3     6     
54     5     12     
78     7     15     
96     8     18     
116     10     21     
137     12     24     
157     14     27     
176     15     31     
195     17     34     
212     19     38     
231     21     41     
250     22     45     
269     24     48     
295     26     52     
314     27     56     
331     28     60     
349     30     63     
366     32     66     
384     34     69     
401     35     73     
420     36     76     
438     38     79     
455     39     82     
473     40     85     
491     41     89     
510     43     92     
529     44     95     
548     46     98     
567     48     101     
586     50     104     
604     52     107     
623     54     110     
642     56     113     
659     57     117     
678     58     120     
697     60     123     
716     61     126     
734     62     130     
753     63     133     
773     65     136     
791     66     139     
810     68     142     
830     70     145     
848     71     148     
867     72     152     
886     73     155     
905     75     158     
924     77     161     
942     79     165     
960     80     168     
978     82     171     
997     83     174     
1016     85     177     
1034     86     180     
1053     88     183     
1073     89     187     
1092     91     190     
1110     92     194     
1129     94     197     
1148     95     200     
1168     97     204     
1186     99     207     
1206     101     210     
1225     102     213     
1244     104     216     
1287     106     219     
1305     108     222     
1324     110     226     
1345     112     229     
1363     114     233     
1382     115     236     
1401     117     239     
1419     119     242     
1438     121     245     
1456     123     248     
1474     125     251     
1493     126     254     
1511     128     257     
1531     130     260     
1548     132     264     
1565     133     268     
1583     135     271     
1603     136     274     
1620     137     277     
1638     139     280     
1656     141     283     
1675     143     286     
1693     145     290     
1712     147     294     
1731     148     298     
1748     149     302     
1767     150     305     
1785     152     308     
1805     153     311     
1824     155     315     
1842     157     318     
1862     159     322     
1880     160     325     
1899     161     329     
1919     163     332     
1938     165     335     
1957     166     338     
1975     167     341     
1995     169     344     
2012     170     347     
2033     172     350     
2053     174     353     
2072     175     356     
2090     176     359     
2109     178     362     
2128     180     365     
2145     181     368     
2164     183     371     
2182     185     375     
2202     187     378     
2220     189     381     
2238     191     384     
2257     193     387     
2275     195     390     
2293     196     393     
2312     197     396     
2331     199     399     
2351     201     403     
2370     203     406     
2388     204     409     
2406     205     412     
2425     207     415     
2444     208     419     
2462     210     422     
2481     211     426     
2500     212     429     
2520     213     433     
2541     214     436     
2560     215     440     
2577     216     444     
2596     218     447     
2615     220     450     
2633     221     454     
2652     222     458     
2670     223     461     
2689     224     464     
2707     225     468     
2726     227     471     
2746     229     474     
2764     231     477     
2782     233     480     
2801     234     483     
2818     236     486     
2836     238     489     
2854     240     492     
2872     241     496     
2889     242     500     
2908     244     503     
2927     246     506     
2946     248     509     
2966     250     512     
2984     252     516     
3002     254     519     
3021     256     522     
3039     257     525     
3057     259     529     
3075     261     532     
3093     262     536     
3118     265     541     
3142     267     544     
3160     269     547     
3179     271     551     
3199     273     554     
3217     275     557     
3236     277     560     
3255     278     564     
3273     279     568     
3293     281     571     
3312     282     574     
3332     284     577     
3350     286     580     
3367     287     583     
3385     289     586     
3405     291     590     
3424     292     593     
3442     293     596     
3459     295     599     
3480     296     602     
3499     298     605     
3518     299     608     
3537     301     611     
3556     303     614     
3574     304     617     
3593     306     620     
3611     307     623     
3629     309     626     
3647     311     629     
3665     312     632     
3683     314     635     
3701     316     639     
3720     318     642     
3738     319     646     
3757     321     649     
3775     322     653     
3795     323     657     
3814     325     660     
3833     326     663     
3853     328     666     
3870     329     669     
3889     330     672     
3908     331     675     
3926     333     679     
3945     335     683     
3975     337     686     
3993     338     689     
4012     340     692     
4029     342     695     
4053     342     696     
4060     342     697     
4067     343     698     
4073     343     699     
4080     344     700     
4086     344     701     
4093     344     703     
4099     344     704     
4105     344     705     
4112     345     706     
4118     346     707     
4124     347     708     
4130     348     710     
4136     348     711     
4142     348     712     
4149     348     713     
4155     348     714     
4162     349     716     
4169     350     717     
4175     350     718     
4182     350     719     
4189     350     720     
4196     351     721     
4202     351     722     
4209     352     723     
4216     352     724     
4222     353     725     
4228     353     726     
4235     354     727     
4241     354     728     
4247     354     729     
4254     354     730     
4261     355     731     
4267     356     732     
4273     356     733     
4279     356     734     
4285     356     736     
4292     357     737     
4298     357     738     
4304     357     739     
4310     357     740     
4317     358     741     
4324     359     742     
4330     360     744     
4336     360     745     
4342     360     746     
4348     360     747     
4354     360     748     
4361     360     749     
4368     361     751     
4375     362     752     
4381     363     753     
4386     363     754     
4393     363     755     
4400     364     756     
4406     364     757     
4412     364     758     
4419     365     759     
4425     365     760     
4431     365     761     
4438     366     762     
4444     366     763     
4450     366     764     
4456     366     765     
4463     367     766     
4469     368     767     
4476     369     768     
4482     370     769     
4488     370     770     
4495     371     771     
4501     372     772     
4507     372     773     
4513     372     774     
4519     372     775     
4525     372     776     
4532     373     777     
4538     373     778     
4545     374     779     
4551     375     780     
4557     375     782     
4564     376     783     
4570     377     785     
4576     377     786     
4583     378     787     
4589     378     788     
4595     378     789     
4601     378     790     
4608     378     791     
4615     379     792     
4621     379     793     
4628     380     794     
4634     380     795     
4641     381     796     
4648     382     797     
4654     383     798     
4660     383     799     
4667     384     800     
4673     385     801     
4680     386     802     
4687     387     803     
4693     387     804     
4700     388     805     
4706     388     806     
4713     389     807     
4719     389     808     
4725     390     809     
4731     390     810     
4737     390     811     
4743     391     813     
4750     392     814     
4757     392     815     
4764     393     816     
4770     393     817     
4777     394     818     
4783     395     819     
4789     396     820     
4795     396     822     
4802     397     823     
4809     398     824     
4815     399     826     
4822     400     827     
4828     400     828     
4834     400     829     
4840     400     830     
4847     400     831     
4854     401     832     
4861     402     833     
4867     402     834     
4874     403     835     
4880     403     836     
4887     404     837     
4893     404     838     
4900     405     839     
4906     406     841     
4913     407     842     
4921     408     843     
4928     409     844     
4935     409     846     
4943     410     847     
4961     411     848     
4967     411     849     
4973     411     850     
4981     412     851     
